Generation,Player,Action,Spent Steel/Titanium,Terraforming,Cities
13,1,standard City,,,city
13,2,played Micro-Mills,,,
13,2,played Insulation,,,
13,1,used Space Elevator,,,
13,1,funded Scientist,,,
13,2,used Regolith Eaters,,1 oxygen,
13,1,played Cartel,,,
13,1,played Medical Lab,,,
13,2,standard sell 4 patents,,,
13,2,played Open City (3 st),,,city
13,1,played Ganymede Colony,3 titanium,,city
13,1,played Callisto Penal Mines,4 titanium,,
13,2,converted plants to greenery,,1 oxygen,
13,2,converted plants to greenery,,1 oxygen,
13,1,passed,,,
13,2,passed,,,
14,2,bought 3,,,
14,1,bought 3,,,
14,2,played Water Import from Europa,3 titanium,,
14,2,played Terraforming Ganymede,,,
14,1,played Viral Enhancers,,,
14,1,played Fish,,,
14,2,standard sell 1 patent,,,
14,2,standard City,,,city
14,1,played Urbanized Area,,,city
14,1,played Imported Nitrogen,3 titanium,,
14,2,converted plants to greenery,,,
14,1,used Space Elevator,,,
14,1,played Large Convoy,4 titanium,1 ocean,
14,2,used Regolith Eaters,,,
14,1,played Rad-Chem Factory,,,
14,1,played Release of Inert Gases,,,
14,2,converted plants to greenery,,,
14,1,used AI Central,,,
14,1,used Fish,,,
14,2,played Land Claim,,,
14,1,used Physics Complex,,,
14,1,played Tropical Resort,,,
14,2,passed,,,
14,1,played Mars University,,,
14,1,played Solar Wind Power,,,
14,1,passed,,,
15,1,bought 1,,,
15,2,bought 1,,,
15,1,played Birds,,,
15,1,played Corporate Stronghold,,,city
15,2,played Business Contacts,,,
15,2,played Livestock,,,
15,1,played Towing a Comet,4 titanium,1 ocean,
15,1,used AI Central,,,
15,2,used Water Import from Europa,,1 ocean,
15,2,played Advanced Ecosystem,,,
15,1,played Magnetic Field Generators,,,
15,1,used Physics Complex,,,
15,2,standard City,,,city
15,2,standard City,,,city
15,1,standard City,,,city
15,1,converted plants to greenery,,,
15,2,converted plants to greenery,,,
15,2,converted plants to greenery,,,
15,1,used Restricted Area,,,
15,1,used Fish,,,
15,2,used Livestock,,,
15,1,used Birds,,,
15,1,played Asteroid,2 titanium,,
15,2,used Space Mirrors,,,
15,2,used Equatorial Magnetizer,,,
15,1,played Fusion Power,1 steel,,
15,1,played Wave Power,,,
15,2,passed,,,
15,1,played Solar Power,,,
15,1,converted plants to greenery,,,
15,1,standard City,,,city
15,1,played Nitrite Reducing Bacteria,,,
15,1,used Nitrite Reducing Bacteria,,,
15,1,played Lichen,,,
15,1,played Worms,,,
Last,2,converted plants to greenery,,,
Last,1,converted plants to greenery,,,
Final,1,147,,,
Final,2,124,,,
