Generation,Player,Action,Spent,Terraforming,Cities
7,2,bought 2,,,
7,1,played Mineral Deposit,,,
7,1,played Electro Catapult,,,
7,2,played Optimal Aerobraking,,,
7,2,played Big Asteroid,8 titanium,2 temperature,
7,1,standard Power Plant,,,
7,1,used Electro Catapult,,,
7,2,played Asteroid,4 titanium,1 temperature,
7,2,played Space Elevator,"1 steel, 3 titanium",,
7,1,played Mohole Area,4 steel,,
7,2,used Space Elevator,,,
7,2,used Business Network,,,
7,1,passed,,,
7,2,used Symbiotic Fungus,,,
7,2,converted heat into temperature,,1 temperature,
7,2,passed,,,
8,2,bought 2,,,
8,1,bought 2,,,
8,2,used Business Network,,,
8,2,played Research Outpost,2 steel,,city
8,1,played Lunar Beam,,,
8,1,played Immigrant City,4 steel,,city
8,2,used Space Elevator,,,
8,2,played Development Center,1 steel,,
8,1,used Physics Complex,,,
8,1,converted heat into temperature,,1 temperature,
8,2,used Development Center,,,
8,2,played Regolith Eaters,,,
8,1,played Rad-Suits,,,
8,2,used Regolith Eaters,,,
8,2,used Symbiotic Fungus,,,
8,1,passed,,,
8,2,used Tardigrades,,,
8,2,played Lichen,,,
8,2,passed,,,
9,1,bought 2,,,
9,2,bought 3,,,
9,1,played Asteroid Mining,2 titanium,,
9,1,converted heat into temperature,,1 temperature,
9,2,used Business Network,,,
9,2,used Development Center,,,
9,1,used Physics Complex,,,
9,1,played CEO’s Favorite Project,,,
9,2,played Urbanized Area,1 steel,,city
9,2,used Space Elevator,,,
9,1,played Solar Power,3 steel,,
9,2,played Phobos Space Haven,6 titanium,,city
9,2,used Regolith Eaters,,1 oxygen,
9,1,used Electro Catapult,,,
9,2,used Space Mirrors,,,
9,2,used Industrial Center,,,
9,1,passed,,,
9,2,played Heather,,,
9,2,used Tardigrades,,,
9,2,used Symbiotic Fungus,,,
9,2,converted heat into temperature,,1 temperature,
9,2,converted plants into greenery,,1 oxygen,
9,2,passed,,,
10,2,bought 2,,,
10,1,bought 3,,,
10,2,used Business Network,,,
10,2,used Development Center,,,
10,1,used Electro Catapult,,,
10,1,played Domed Crater,6 steel,,city
10,2,claimed Mayor,,,
10,2,played Building Industries,2 steel,,
10,1,claimed Builder,,,
10,1,played Power Grid,,,
10,2,used Symbiotic Fungus,,,
10,2,used Regolith Eaters,,1 oxygen,
10,1,used Physics Complex,,,
10,1,played Satellites,2 titanium,,
10,2,used Space Elevator,,,
10,2,used Industrial Center,,,
10,1,passed,,,
10,2,played Giant Ice Asteroid,6 titanium,"2 temperature, 2 ocean",
10,2,passed,,,
11,1,bought 4,,,
11,2,bought 4,,,
11,1,played Commercial District,4 steel,,
11,1,used Electro Catapult,,,
11,2,claimed Terraformer,,,
11,2,used Space Elevator,,,
11,1,played Ore Processor,,,
11,1,used Ore Processor,,1 oxygen,
11,2,used Business Network,,,
11,2,played Space Station,2 titanium,,
11,1,converted heat into temperature,,1 temperature,
11,1,used Physics Complex,,,
11,2,played Tectonic Stress Power,5 steel,,
11,2,played Mine,,,
11,1,funded Scientist,,,
11,1,played Gene Repair,,,
11,2,played Cupola City,,,city
11,2,converted plants into greenery,,1 oxygen,
11,1,passed,,,
11,2,used Regolith Eaters,,,
11,2,used Symbiotic Fungus,,,
11,2,used Tardigrades,,,
11,2,passed,,,
12,2,bought 4,,,
12,1,bought 4,,,
12,2,played Deimos Down,6 titanium,"3 temperature, 1 ocean",
12,2,used Development Center,,,
12,1,funded Banker,,,
12,1,played Callisto Penal Mines,5 titanium,,
12,2,played Adaptation Technology,,,
12,2,played Natural Preserve,,,
12,1,converted heat into temperature,,1 temperature,
12,1,played Great Dam,3 steel,,
12,2,played Breathing Filters,,,
12,2,played Viral Enhancers,,,
12,1,used Electro Catapult,,,
12,1,played Power Plant,,,
12,2,played Anti-Gravity Technology,,,
12,2,used Space Elevator,,,
12,1,used Ore Processor,,1 oxygen,
12,1,played Lightning Harvest,,,
12,2,played Strip Mine,8 steel,2 oxygen,
12,2,converted heat into temperature,,1 temperature,
12,1,played Permafrost Extraction,,1 ocean,
12,1,used Physics Complex,,,
12,2,played Mining Expedition,,,
12,2,used Tardigrades,,,
12,1,passed,,,
12,2,used Regolith Eaters,,1 oxygen,
12,2,used Symbiotic Fungus,,,
12,2,converted plants into greenery,,1 oxygen,
12,2,converted plants into greenery,,"1 oxygen, 1 temperature",
12,2,played Tropical Resort,2 steel,,
12,2,passed,,,
13,1,bought 1,,,
13,2,bought 2,,,
13,1,funded Thermalist,,,
13,1,used Ore Processor,,1 oxygen,
13,2,played Peroxide Power,1 steel,,
13,2,played AI Central,7 steel,,
13,1,played Protected Valley,5 steel,1 oxygen,
13,1,played Caretaker Contract,,,
13,2,used AI Central,,,
13,2,standard City,,,city
13,1,used Caretaker Contract,,,
13,1,played Methane from Titan,4 titanium,,
13,2,played Birds,,,
13,2,played Fish,,,
13,1,used Physics Complex,,,
13,2,used Space Elevator,,,
13,2,played Research,,,
13,1,passed,,,
13,2,played Release of Inert Gases,,,
13,2,used Tardigrades,,,
13,2,used Symbiotic Fungus,,,
13,2,used Regolith Eaters,,1 oxygen,
13,2,used Birds,,,
13,2,used Fish,,,
13,2,passed,,,
14,2,bought 2,,,
14,1,bought 2,,,
14,2,played Mass Converter,,,
14,2,played Magnetic Field Dome,,,
14,1,played Water Import from Europa,2 titanium,,
14,1,used Water Import from Europa,,1 ocean,
14,2,used AI Central,,,
14,2,used Space Elevator,,,
14,1,played Moss,,,
14,1,played Rad-Chem Factory,2 steel,,
14,2,used Development Center,,,
14,2,used Business Network,,,
14,1,used Electro Catapult,,,
14,1,played Noctis City,3 steel,,city
14,2,played Artificial Lake,5 steel,1 ocean,
14,2,converted plants into greenery,,,
14,1,standard Acquifer,,1 ocean,
14,1,standard Acquifer,,1 ocean,
14,2,played Tundra Farming,,,
14,2,played Soil Factory,2 steel,,
14,1,used Caretaker Contract,,,
14,1,used Physics Complex,,,
14,2,used Tardigrades,,,
14,2,used Symbiotic Fungus,,,
14,1,converted plants into greenery,,,
14,2,played Inventor’s Guild,,,
14,2,played Adapted Lichen,,,
14,1,standard sell 2 patents,,,
14,2,used Birds,,,
14,2,used Fish,,,
14,1,passed,,,
14,2,standard City,,,city
14,2,converted plants into greenery,,,
14,2,used Regolith Eaters,,,
14,2,standard sell 2 patents,,,
14,2,played Predators,,,
14,2,standard sell 2 patents,,,
14,2,passed,,,
Last,2,converted plants into greenery,,,
Final,1,104,,,
Final,2,127,,,
