Generation,Player,Action,Spent,Terraforming,Cities
14,1,used Physics Complex,,,
14,2,played Space Elevator,4 steel,,
14,2,converted heat to temperature,,1 temperature,
14,1,played Ganymede Colony,6 titanium,,city
14,1,used Development Center,,,
14,2,played Media Group,,,
14,2,played Release of Inert Gases,,,
14,1,passed,,,
14,2,converted plants to greenery,,1 oxygen,
14,2,used AI Central,,,
14,2,played Gene Repair,,,
14,2,played Business Network,,,
14,2,used Business Network,,,
14,2,passed,,,
15,1,bought 4,,,
15,2,bought 4,,,
15,1,used Water Import from Europa,4 titanium,1 ocean,
15,1,standard City,,,
15,2,converted plants to greenery,,"1 oxygen, 1 temperature",
15,2,used UNMI,,,
15,1,played Cloud Seeding,,,
15,1,played Immigration Shuttles,,,
15,2,converted heat to temperature,,1 temperature,
15,2,converted heat to temperature,,1 temperature,
15,1,played Cartel,,,
15,1,converted heat to temperature,,1 temperature,
15,2,used Physics Complex,,,
15,2,used Development Center,,,
15,1,used Ore Processor,,1 oxygen,
15,1,played Security Fleet,,,
15,2,played Interstellar Colony Ship,6 titanium,,
15,2,played Windmills,2 steel,,
15,1,used Space Elevator,,,
15,1,used Security Fleet,,,
15,2,used Inventor's Guild,,,
15,2,played Asteroid,,1 temperature,
15,1,used AI Central,,,
15,1,used Electro Catapult,,,
15,2,played Tundra Farming,,,
15,2,played Power Infrastructure,1 steel,,
15,1,played Extreme Cold Fungus,,,
15,1,used Business Network,,,
15,2,used Martian Rails,,,
15,2,used Power Infrastructure,,,
15,1,played Power Grid,,,
15,1,converted plants to greenery,,1 oxygen,
15,2,passed,,,
15,1,played Trees,,,
15,1,used Extreme Cold Fungus,,,
15,1,converted plants to greenery,,1 oxygen,
15,1,passed,,,
16,2,bought 3,,,
16,1,bought 4,,,
16,2,converted heat to temperature,,1 temperature,
16,2,played Lava Flows,,2 temperature,
16,1,standard City,,,city
16,1,played Miranda Resort,1 titanium,,
16,2,played Commercial District,2 steel,,
16,2,standard City,,,city
16,1,played Ecological Zone,,,
16,1,used Space Elevator,,,
16,2,converted plants to greenery,,1 oxygen,
16,2,converted plants to greenery,,1 oxygen,
16,1,converted plants to greenery,,1 oxygen,
16,1,used Ore Processor,,,
16,2,played Noctis City,1 steel,,city
16,2,used Physics Complex,,,
16,1,used AI Central,,,
16,1,played Methane from Titan,3 titanium,,
16,2,used Development Center,,,
16,2,used Inventor's Guild,,,
16,1,used Electro Catapult,,,
16,1,used Security Fleet,,,
16,2,used Martian Rails,,,
16,2,used Power Infrastructure,,,
16,1,played Mining Rights,3 steel,,
16,1,played Capital,11 steel,,city
16,2,used UNMI,,,
16,2,played Small Animals,,,
16,1,played Invention Contest,,,
16,1,played Farming,,,
16,2,played Eos Chasma National Park,,,
16,2,used Small Animals,,,
16,1,played Pets,,,
16,1,played Insects,,,
16,2,played Equatorial Magnetizer,,,
16,2,used Equatorial Magnetizer,,,
16,1,standard City,,,city
16,1,converted plants to greenery,,,
16,2,played Greenhouses,,,
16,2,converted plants to greenery,,,
16,1,funded Landlord,,,
16,1,converted plants to greenery,,,
16,2,converted plants to greenery,,,
16,2,standard sell 1 patent,,,
16,1,used Business Network,,,
16,1,used Extreme Cold Fungus,,,
16,2,standard Asteroid,,"1 temperature, 1 ocean",
16,1,converted heat to temperature,,1 temperature,
16,2,passed,,,
16,1,passed,,,
17,1,bought 2,,,
17,2,bought 2,,,
17,1,converted heat to temperature,,1 temperature,
17,1,converted heat to temperature,,1 temperature,
17,2,played Restricted Area,,,
17,2,used Restricted Area,,,
17,1,used Security Fleet,,,
17,1,used Ore Processor,,,
17,2,used Inventor's Guild,,,
17,2,used Development Center,,,
17,1,used AI Central,,,
17,1,played Callisto Penal Mines,4 titanium,,
17,2,played Tropical Resort,4 steel,,
17,2,played Insulation,,,
17,1,played Vesta Shipyard,,,
17,1,played Asteroid Mining,,,
17,2,played Tectonic Stress Power,,,
17,2,converted plants to greenery,,,
17,1,played Terraforming Ganymede,,,
17,1,played Magnetic Field Generator,8 steel,,
17,2,played Shuttles,,,
17,2,used Physics Complex,,,
17,1,converted plants to greenery,,,
17,1,used Electro Catapult,,,
17,2,standard sell 1 patent,,,
17,2,standard Greenery,,,
17,1,played Nitrite Reducing Bacteria,,,
17,1,used Space Elevator,,,
17,2,standard Greenery,,,
17,1,played Lightning Harvest,,,
17,1,played Heather,,,
17,2,used Small Animals,,,
17,2,used Equatorial Magnetizer,,,
17,1,used Nitrite Reducing Bacteria,,,
17,1,used Extreme Cold Fungus,,,
17,2,used UNMI,,,
17,1,converted plants to greenery,,,
17,1,converted plants to greenery,,,
17,2,passed,,,
17,1,standard Greenery,,,
17,1,standard Greenery,,,
17,1,passed,,,
Last,2,converted plants to greenery,,,
Last,1,converted plants to greenery,,,
Final,1,180,,,
Final,2,136,,,
