awards,corporations,draft,expansions,generations,map,milestones,players,scores,timestamp,wgt,country,colonies,rank,key
"['CELEBRITY', 'DESERT SETTLER', 'BENEFACTOR']","['VIRON', 'CREDICOR', 'HELION']",NO,['CORPORATE'],11,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'TYCOON']",3,"['66', '78', '75']",,,,,,-LNVEyHHqX13jI4F1uRf
"['INDUSTRIALIST', 'DESERT SETTLER', 'BENEFACTOR']","['PHOBOLOG', 'UNMI', 'MANUTECH']",NO,['CORPORATE'],12,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",3,"['73', '89', '88']",,,,,,-LNVF8cgE2By2a5EUuJu
"['CELEBRITY', 'DESERT SETTLER']","['THORGATE', 'KUIPER BELT COOP.', 'SATURN SYSTEMS']",NO,['CORPORATE'],11,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'TYCOON']",3,"['72', '84', '85']",,,,,,-LNVFLl_6IEEDMRJYVGU
"['INDUSTRIALIST', 'DESERT SETTLER', 'BENEFACTOR']","['INVENTRIX', 'INTERPLAN. CINEMATICS', 'TERACTOR']",NO,['CORPORATE'],10,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'TYCOON']",3,"['70', '57', '71']",,,,,,-LNVFYwGhCWL6vHY9isz
"['INDUSTRIALIST', 'DESERT SETTLER', 'ESTATE DEALER']","['HELION', 'ECOLINE']",NO,['CORPORATE'],15,ELYSIUM,"['ECOLOGIST', 'TYCOON', 'LEGEND']",2,"['128', '135']",,,,,,-LNVFhu0IdVT6DYBx-u6
['CONTRACTOR'],"['INTERPLAN. CINEMATICS', 'UNMI', 'KUIPER BELT COOP.']",NO,['CORPORATE'],11,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'POLAR EXPLORER']",3,"['78', '70', '76']",,,,,,-LNVGZsv88qVDVNdklxy
"['CULTIVATOR', 'SPACE BARON', 'EXCENTRIC']","['SATURN SYSTEMS', 'INVENTRIX', 'THARSIS REPUBLIC', 'TERACTOR']",NO,['CORPORATE'],11,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'RIM SETTLER']",4,"['85', '65', '72', '95']",,,,,,-LNVGnq_zaBcIV4aufuM
"['CULTIVATOR', 'SPACE BARON', 'CONTRACTOR']","['MINING GUILD', 'PHOBOLOG', 'MANUTECH']",NO,['CORPORATE'],11,HELLAS,"['POLAR EXPLORER', 'ENERGIZER', 'RIM SETTLER']",3,"['86', '73', '79']",,,,,,-LNVGylLC1-Xl1jfCKju
"['THERMALIST', 'MINER', 'VENUPHILE']","['INVENTRIX', 'UNMI', 'TERACTOR']",NO,"['CORPORATE', 'VENUS']",11,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",3,"['66', '87', '75']",,,,,,-LNVH9g0tJCyyC2QXwZH
"['BANKER', 'THERMALIST', 'VENUPHILE']","['HELION', 'THORGATE', 'PHOBOLOG']",NO,"['CORPORATE', 'VENUS']",12,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",3,"['85', '82', '78']",,,,,,-LNVHKsmTMr5_ZGU3Paf
"['LANDLORD', 'THERMALIST', 'MINER']","['MORNING STAR', 'INTERPLAN. CINEMATICS']",NO,"['CORPORATE', 'VENUS']",14,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['108', '95']",,,,,,-LNVHTMQjDGnLQM7F6UD
"['BANKER', 'MINER', 'VENUPHILE']","['CELESTIC', 'APHRODITE']",NO,"['CORPORATE', 'VENUS']",13,THARSIS,"['TERRAFORMER', 'BUILDER', 'HOVERLORD']",2,"['89', '111']",,,,,,-LNVHcXxCaqhRafczfpm
"['INDUSTRIALIST', 'BENEFACTOR']","['KUIPER BELT COOP.', 'PHOBOLOG']",NO,"['CORPORATE', 'VENUS']",14,ELYSIUM,"['ECOLOGIST', 'TYCOON', 'LEGEND']",2,"['119', '108']",,,,,,-LNVHmELeJhz7xA573KT
"['MAGNATE', 'EXCENTRIC', 'CONTRACTOR']","['MINING GUILD', 'KUIPER BELT COOP.', 'MORNING STAR', 'APHRODITE']",NO,"['CORPORATE', 'VENUS']",12,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'HOVERLORD']",4,"['63', '53', '63', '74']",,,,,,-LNVI0ilRQKy9XaXBtv0
"['MAGNATE', 'CONTRACTOR']","['CREDICOR', 'VIRON', 'SATURN SYSTEMS']",NO,"['CORPORATE', 'VENUS']",12,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'RIM SETTLER']",3,"['73', '72', '100']",,,,,,-LNVIpfvSP8xDQdedVRk
"['MAGNATE', 'SPACE BARON', 'CONTRACTOR']","['SATURN SYSTEMS', 'INVENTRIX', 'MINING GUILD']",NO,"['CORPORATE', 'VENUS']",11,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'ENERGIZER']",3,"['75', '81', '76']",,,,,,-LNVJ1FCWRrTBBHK883e
"['MAGNATE', 'SPACE BARON', 'VENUPHILE']","['TERACTOR', 'MORNING STAR', 'KUIPER BELT COOP.']",NO,"['CORPORATE', 'VENUS']",13,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'HOVERLORD']",3,"['111', '107', '88']",,,,,,-LNVJDmamUi-S3g9I67W
"['SPACE BARON', 'CONTRACTOR', 'VENUPHILE']","['MANUTECH', 'PHOBOLOG', 'HELION']",NO,"['CORPORATE', 'VENUS']",12,HELLAS,"['DIVERSIFIER', 'POLAR EXPLORER', 'RIM SETTLER']",3,"['95', '103', '88']",,,,,,-LNVJPOsEOVaZ14VLK3z
"['SCIENTIST', 'VENUPHILE']","['INTERPLAN. CINEMATICS', 'CREDICOR']",NO,"['CORPORATE', 'VENUS']",14,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['124', '110']",,,,,,-LNVJ_6YRoIuM1665Ku2
"['BANKER', 'SCIENTIST', 'THERMALIST']","['VIRON', 'TERACTOR']",NO,"['CORPORATE', 'VENUS']",14,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['105', '113']",,,,,,-LNVJi_ZBRFKNIilvF5n
"['CULTIVATOR', 'EXCENTRIC', 'CONTRACTOR']","['INTERPLAN. CINEMATICS', 'THARSIS REPUBLIC']",NO,"['CORPORATE', 'VENUS']",15,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'POLAR EXPLORER']",2,"['117', '110']",,,,,,-LNVTnC1q8Pq-vpxNPlZ
"['MAGNATE', 'CONTRACTOR', 'VENUPHILE']","['HELION', 'VIRON']",NO,"['CORPORATE', 'VENUS']",14,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'RIM SETTLER']",2,"['131', '103']",,,,,,-LNVTwfg3ref_YU-zCyL
"['MAGNATE', 'EXCENTRIC', 'VENUPHILE']","['THORGATE', 'MORNING STAR']",NO,"['CORPORATE', 'VENUS']",16,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'ENERGIZER']",2,"['173', '183']",,,,,,-LNVU6Lq4M81XYzdTrOJ
"['BANKER', 'SCIENTIST', 'MINER']","['CREDICOR', 'INVENTRIX']",NO,['CORPORATE'],13,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['100', '113']",,,,,,-LNVUGo7WhnRZje0vrCK
"['MAGNATE', 'EXCENTRIC', 'VENUPHILE']","['APHRODITE', 'TERACTOR', 'VIRON', 'THORGATE']",NO,"['CORPORATE', 'VENUS']",10,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'POLAR EXPLORER']",4,"['71', '72', '80', '71']",,,,,,-LNVUXvnfdXmEYYAb0c7
"['CULTIVATOR', 'MAGNATE', 'CONTRACTOR']","['INTERPLAN. CINEMATICS', 'ECOLINE', 'MINING GUILD']",NO,"['CORPORATE', 'VENUS']",14,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'ENERGIZER']",3,"['103', '97', '115']",,,,,,-LNVUksyLm4B4QDyWwPw
"['BANKER', 'SCIENTIST', 'MINER']","['VALLEY TRUST', 'INTERPLAN. CINEMATICS', 'CHEUNG SHING MARS']",NO,"['CORPORATE', 'PRELUDE']",10,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",3,"['93', '90', '79']",,,,,,-LNVV-Ds66XcCVexmx7H
"['LANDLORD', 'BANKER', 'THERMALIST']","['ECOLINE', 'PHOBOLOG', 'TERACTOR']",NO,"['CORPORATE', 'PRELUDE']",9,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",3,"['83', '80', '78']",,,,,,-LNVVApmJ62EARZZ7pF8
"['LANDLORD', 'BANKER', 'MINER']","['ROBINSON INDUSTRIES', 'MANUTECH']",NO,"['CORPORATE', 'PRELUDE']",13,THARSIS,"['TERRAFORMER', 'MAYOR', 'BUILDER']",2,"['139', '116']",,,,,,-LNVVLZYnydPehW_zr7C
"['BANKER', 'MINER']","['PHOBOLOG', 'MINING GUILD', 'UNMI', 'MANUTECH']",NO,"['CORPORATE', 'PRELUDE']",7,THARSIS,"['TERRAFORMER', 'GARDENER']",4,"['51', '53', '63', '65']",,,,,,-LNVVY6DpuDO79YmWAmw
['MINER'],"['ROBINSON INDUSTRIES', 'THORGATE', 'HELION', 'MINING GUILD', 'VALLEY TRUST']",NO,"['CORPORATE', 'PRELUDE']",6,THARSIS,"['MAYOR', 'GARDENER', 'BUILDER']",5,"['53', '45', '45', '55', '49']",,,,,,-LNVVm_sdiSsvE_yUQ3_
"['MAGNATE', 'EXCENTRIC', 'CONTRACTOR']","['ROBINSON INDUSTRIES', 'INVENTRIX', 'HELION', 'SATURN SYSTEMS', 'INTERPLAN. CINEMATICS']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",7,HELLAS,"['TACTICIAN', 'POLAR EXPLORER', 'ENERGIZER']",5,"['46', '50', '63', '51', '55']",,,,,,-LNVW3CI1b2Vv-vVihfY
"['CULTIVATOR', 'EXCENTRIC', 'CONTRACTOR']","['CHEUNG SHING MARS', 'VIRON', 'ECOLINE', 'POINT LUNA', 'KUIPER BELT COOP.']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",7,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'HOVERLORD']",5,"['49', '60', '50', '56', '44']",,,,,,-LNVWJO4voKlZgN2eGAb
"['CULTIVATOR', 'MAGNATE', 'CONTRACTOR']","['TERACTOR', 'VALLEY TRUST', 'MANUTECH', 'THARSIS REPUBLIC']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",10,HELLAS,"['DIVERSIFIER', 'TACTICIAN', 'RIM SETTLER']",4,"['81', '68', '86', '81']",,,,,,-LNVWW87P_4eJ2Lc68I4
"['CELEBRITY', 'ESTATE DEALER', 'BENEFACTOR']","['CHEUNG SHING MARS', 'MANUTECH', 'SATURN SYSTEMS', 'ECOLINE']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",9,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",4,"['72', '67', '75', '80']",,,,,,-LNVWicts51GR02Nt4RK
"['INDUSTRIALIST', 'ESTATE DEALER', 'VENUPHILE']","['INVENTRIX', 'HELION', 'ROBINSON INDUSTRIES', 'KUIPER BELT COOP.']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",9,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",4,"['86', '66', '78', '74']",,,,,,-LNVWvwKFXPX4W3JgjO0
"['INDUSTRIALIST', 'ESTATE DEALER', 'BENEFACTOR']","['MINING GUILD', 'TERACTOR', 'VITOR']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",11,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",3,"['119', '106', '85']",,,,,,-LNVX6HCNs-VGaORY35l
"['INDUSTRIALIST', 'BENEFACTOR']","['SATURN SYSTEMS', 'CHEUNG SHING MARS', 'UNMI']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",8,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",3,"['74', '64', '71']",,,,,,-LNVXJcsUwbbZ_6rBLU4
"['INDUSTRIALIST', 'DESERT SETTLER', 'BENEFACTOR']","['KUIPER BELT COOP.', 'HELION', 'THORGATE']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",12,ELYSIUM,"['SPECIALIST', 'ECOLOGIST', 'LEGEND']",3,"['103', '91', '105']",,,,,,-LNVXX51HXRhQwyD9tCl
"['BANKER', 'MINER', 'VENUPHILE']","['POINT LUNA', 'PHOBOLOG', 'INTERPLAN. CINEMATICS', 'VIRON']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",10,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",4,"['91', '84', '71', '88']",,,,,,-LNVXj0ZUrF3B4s1-I2p
"['LANDLORD', 'BANKER', 'VENUPHILE']","['MORNING STAR', 'ECOLINE', 'INVENTRIX']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",12,THARSIS,"['TERRAFORMER', 'GARDENER', 'PLANNER']",3,"['108', '109', '105']",,,,,,-LNVXv9a3e7FzseuVNXK
"['BANKER', 'SCIENTIST', 'MINER']","['VITOR', 'VALLEY TRUST', 'SPLICE']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",10,THARSIS,"['TERRAFORMER', 'BUILDER', 'HOVERLORD']",3,"['100', '78', '94']",,,,,,-LNVY77-0h3zzk47nMTy
"['BANKER', 'SCIENTIST', 'VENUPHILE']","['BEGINNER', 'ROBINSON INDUSTRIES', 'MORNING STAR']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",12,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",3,"['115', '114', '113']",,,,,,-LNVYJ_Phy304F4qYmRR
"['CELEBRITY', 'INDUSTRIALIST', 'BENEFACTOR']","['MANUTECH', 'KUIPER BELT COOP.', 'ECOLINE']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",9,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",3,"['77', '65', '80']",,,,,,-LNVYUn2AqM0QAbXEudX
"['MAGNATE', 'SPACE BARON', 'EXCENTRIC']","['VITOR', 'SATURN SYSTEMS', 'POINT LUNA']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",10,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'RIM SETTLER']",3,"['99', '78', '79']",,,,,,-LNVYi8DPjjp5MOojnae
"['SPACE BARON', 'CONTRACTOR', 'VENUPHILE']","['APHRODITE', 'HELION', 'MANUTECH']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",10,HELLAS,"['DIVERSIFIER', 'ENERGIZER', 'RIM SETTLER']",3,"['92', '77', '86']",,,,,,-LNVYsNFSUI0CTjptnzC
"['BANKER', 'THERMALIST', 'MINER']","['VALLEY TRUST', 'POINT LUNA', 'ARCADIAN COMMUNITIES']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",12,THARSIS,"['MAYOR', 'GARDENER', 'PLANNER']",3,"['88', '86', '112']",,,,,,-LNVZ1zP-dHySDBTkRXK
"['DESERT SETTLER', 'ESTATE DEALER', 'BENEFACTOR']","['ECOLINE', 'THARSIS REPUBLIC']",YES,['CORPORATE'],15,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",2,"['139', '105']",,,,,,-LNX3NBUJF9MRPtWeu9S
"['BANKER', 'THERMALIST', 'MINER']","['THARSIS REPUBLIC', 'ECOLINE']",YES,['CORPORATE'],14,THARSIS,"['MAYOR', 'GARDENER', 'BUILDER']",2,"['127', '95']",,,,,,-LNX3Wp5JY76TLa7DJt_
"['SCIENTIST', 'THERMALIST', 'MINER']","['INTERPLAN. CINEMATICS', 'THORGATE', 'VITOR', 'TERACTOR']",YES,['PRELUDE'],7,THARSIS,"['TERRAFORMER', 'MAYOR', 'BUILDER']",4,"['55', '48', '83', '52']",,,,,,-LN_jQWXsev2qB94aTvo
"['INDUSTRIALIST', 'ESTATE DEALER', 'BENEFACTOR']","['ECOLINE', 'THARSIS REPUBLIC']",YES,['CORPORATE'],12,ELYSIUM,"['GENERALIST', 'SPECIALIST', 'ECOLOGIST']",2,"['112', '92']",,,,,,-LNb3QBaA7N-Jx4okmHU
"['BANKER', 'SCIENTIST', 'MINER']","['PHOBOLOG', 'THARSIS REPUBLIC']",YES,['CORPORATE'],13,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",2,"['107', '108']",,,,,,-LNb3dP3Adpz-oMS1L7n
,"['THARSIS REPUBLIC', 'VIRON', 'TERACTOR', 'ROBINSON INDUSTRIES', 'INTERPLAN. CINEMATICS']",YES,"['CORPORATE', 'PRELUDE']",9,ELYSIUM,,5,"['65', '61', '61', '60', '57']",,,,,,-LNbjA-vB0Lt_HsbbTVn
,"['CHEUNG SHING MARS', 'VALLEY TRUST', 'ROBINSON INDUSTRIES', 'THORGATE']",YES,"['CORPORATE', 'PRELUDE']",10,HELLAS,,4,"['92', '81', '80', '58']",,,,,,-LNbk4F5XmF2WszcBW_V
"['SCIENTIST', 'MINER']","['THARSIS REPUBLIC', 'ROBINSON INDUSTRIES']",NO,"['CORPORATE', 'VENUS', 'PRELUDE']",12,THARSIS,"['TERRAFORMER', 'GARDENER', 'BUILDER']",2,"['96', '92']",,,,,,-LNbkSDBcM-oCObL00Al
"['SCIENTIST', 'THERMALIST', 'MINER']","['THARSIS REPUBLIC', 'INTERPLAN. CINEMATICS', 'UNMI', 'PHOBOLOG']",YES,"['CORPORATE', 'PRELUDE']",10,THARSIS,"['TERRAFORMER', 'MAYOR', 'GARDENER']",4,"['90', '71', '77', '63']",,,,,,-LNcBfAPgRLIZw7ILd72
"['CELEBRITY', 'INDUSTRIALIST', 'BENEFACTOR']","['ECOLINE', 'INTERPLAN. CINEMATICS']",YES,"['CORPORATE', 'VENUS', 'PRELUDE']",13,ELYSIUM,"['GENERALIST', 'ECOLOGIST', 'LEGEND']",2,"['132', '122']",,,,,,-LNcUaV0d2GuTFQafZmT
