Generation,Player,Action,Spent,Terraforming,Cities
10,2,played Search for Life,,,
10,1,used Restricted Area,,,
10,2,passed,,,
10,1,passed,,,
11,1,bought 3,,,
11,2,bought 1,,,
11,1,played Giant Space Mirror,,,
11,1,funded Landlord,,,
11,2,played Quantum Extractor,,,
11,2,used Business Network,,,
11,1,used Extreme Cold Fungus,,,
11,1,converted plants to greenery,,1 oxygen,
11,2,converted heat to temperature,,1 temperature,
11,2,converted heat to temperature,,1 temperature,
11,1,used Water Import from Europa,,1 ocean,
11,2,used Space Mirrors,,,
11,2,used Equatorial Magnetizer,,,
11,1,used Electro Catapult,,,
11,2,played Physics Complex,3 steel,,
11,2,played Regolith Eaters,,,
11,1,converted heat to temperature,,1 temperature,
11,1,standard Asteroid,,1 temperature,
11,2,used Regolith Eaters,,,
11,1,used Restricted Area,,,
11,2,passed,,,
11,1,passed,,,
12,2,bought 4,,,
12,1,bought 4,,,
12,2,played Anti-Gravity Technology,,,
12,2,played Commercial District,,,
12,1,used Electro Catapult,,,
12,1,used Restricted Area,,,
12,2,played Building Industries,,,
12,2,used Regolith Eaters,,,
12,1,played Colonizer Training Camp,,,
12,1,used Water Import from Europa,,1 ocean,
12,2,converted heat to temperature,,1 temperature,
12,2,used Equatorial Magnetizer,,,
12,1,played Development Center,,,
12,1,used Development Center,,,
12,2,passed,,,
12,1,played Inventor’s Guild,,,
12,1,used Inventor's Guild,,,
12,1,converted heat to temperature,,1 temperature,
12,1,used Extreme Cold Fungus,,,
12,1,played Advanced Alloys,,,
12,1,passed,,,
13,1,bought 2,,,
13,2,bought 1,,,
13,1,standard City,,,city
13,1,converted plants to greenery,,1 oxygen,
13,2,played Olympus Conference,,,
13,2,played Artificial Photosynthesis,,,
13,1,played Sabotage,,,
13,1,played Tardigrades,,,
13,2,played Tectonic Stress Power,3 steel,,
13,2,converted heat to temperature,,1 temperature,
13,1,converted heat to temperature,,1 temperature,
13,1,used Electro Catapult,,,
13,2,used Space Mirrors,,,
13,2,used Equatorial Magnetizer,,,
13,1,used Tardigrades,,,
13,1,used Development Center,,,
13,2,used Regolith Eaters,,1 oxygen,
13,1,played Methane from Titan,,,
13,1,played Ants,,,
13,2,passed,,,
13,1,used Ants,,,
13,1,used Extreme Cold Fungus,,,
13,1,used Inventor's Guild,,,
13,1,used Restricted Area,,,
13,1,passed,,,
14,2,bought 2,,,
14,1,bought 1,,,
14,2,played Earth Catapult,,,
14,2,played AI Central,,,
14,1,used Electro Catapult,,,
14,1,converted plants to greenery,,1 oxygen,
14,2,used AI Central,,,
14,2,used Physics Complex,,,
14,1,converted heat to temperature,,1 temperature,
14,1,converted heat to temperature,,1 temperature,
14,2,converted heat to temperature,,1 temperature,
14,2,converted heat to temperature,,1 temperature,
14,1,used Ants,,,
14,1,used Extreme Cold Fungus,,,
14,2,used Space Mirrors,,,
14,2,used Equatorial Magnetizer,,,
14,1,played Industrial Microbes,,,
14,1,played Worms,,,
14,2,played Wave Power,,,
14,2,played Shuttles,,,
14,1,played Ganymede Colony,,,city
14,1,played Asteroid Mining Consortium,,,
14,2,passed,,,
14,1,played Rad-Chem Factory,,,
14,1,used Tardigrades,,,
14,1,played Trans-Neptune Probe,,,
14,1,passed,,,
15,1,bought 1,,,
15,2,bought 1,,,
15,1,used Restricted Area,,,
15,1,used Development Center,,,
15,2,played Mining Expedition,,,
15,2,used AI Central,,,
15,1,converted heat to temperature,,1 temperature,
15,1,used Ants,,,
15,2,played Natural Preserve,2 steel,,
15,2,used Physics Complex,,,
15,1,used Tardigrades,,,
15,1,used Extreme Cold Fungus,,,
15,2,played Nuclear Zone,,2 temperature,
15,2,converted heat to temperature,,1 temperature,
15,1,played Algae,,,
15,1,converted plants to greenery,,1 oxygen,
15,2,played Deep Well Heating,3 steel,1 temperature,
15,1,used Electro Catapult,,,
15,1,used Inventor's Guild,,,
15,2,played Solar Wind Power,,,
15,2,played Strip Mine,,"2 oxygen, 1 temperature",
15,1,played Livestock,,,
15,1,used Livestock,,,
15,2,played Release of Inert Gases,,,
15,2,standard sell 3 patents,,,
15,1,played CEO’s Favorite Project,,,
15,1,played Kelp Farming,,,
15,2,used Space Mirrors,,,
15,2,used Equatorial Magnetizer,,,
15,1,played Plantation,,1 oxygen,
15,1,played Insects,,,
15,2,passed,,,
15,1,passed,,,
16,2,bought 2,,,
16,1,bought 3,,,
16,2,used AI Central,,,
16,2,used Physics Complex,,,
16,1,funded Banker,,,
16,1,used Electro Catapult,,,
16,2,played Mass Converter,,,
16,2,funded Scientist,,,
16,1,converted plants to greenery,,1 oxygen,
16,1,used Extreme Cold Fungus,,,
16,2,played Mars University,,,
16,2,played Optimal Aerobraking,,,
16,1,used Tardigrades,,,
16,1,used Livestock,,,
16,2,played Imported GHG,,,
16,2,played Callisto Penal Mines,,,
16,1,used Restricted Area,,,
16,1,used Development Center,,,
16,2,used Business Network,,,
16,2,played Technology Demonstration,,,
16,1,played Sponsors,,,
16,1,used Inventor's Guild,,,
16,2,played Acquired Company,,,
16,2,played Standard Technology,,,
16,1,played Phobos Space Haven,6 titanium,,city
16,2,played Asteroid,,,
16,2,played Solar Power,3 steel,,
16,1,converted plants to greenery,,1 oxygen,
16,1,played Noctis City,,,city
16,2,used Space Mirrors,,,
16,2,used Equatorial Magnetizer,,,
16,1,standard sell 8 patents,,,
16,2,played Terraforming Ganymede,2 titanium,,
16,1,used Ants,,,
16,2,played Fuel Factory,,,
16,1,standard City,,,city
16,1,played Urbanized Area,,,city
16,2,passed,,,
16,1,passed,,,
17,1,bought 1,,,
17,2,bought 2,,,
17,1,played Beam from a Thorium Asteroid,4 titanium,,
17,1,converted plants to greenery,,1 oxygen,
17,2,used AI Central,,,
17,2,used Physics Complex,,,
17,1,converted plants to greenery,,1 oxygen,
17,1,used Tardigrades,,,
17,2,played Breathing Filters,,,
17,2,played Business Contacts,,,
17,1,used Electro Catapult,,,
17,1,played Nitrogen-Rich Asteroid,,,
17,2,played Tundra Farming,,,
17,2,played Bushes,,,
17,1,played Ecological Zone,,,
17,1,used Livestock,,,
17,2,used Business Network,,,
17,2,played Magnetic Field Dome,,,
17,1,played Zeppelins,,,
17,1,used Ants,,,
17,2,played Mineral Deposit,,,
17,2,standard City,,,
17,1,used Restricted Area,,,
17,1,used Development Center,,,
17,2,converted plants to greenery,,1 oxygen,
17,2,played Greenhouses,1 steel,,
17,1,standard sell 2 patents,,,
17,1,played Great Dam,,,
17,2,standard sell 1 patent,,,
17,2,standard Greenery,,,
17,1,used Extreme Cold Fungus,,,
17,2,passed,,,
17,1,passed,,,
Last,2,converted plants to greenery,,,
Last,1,converted plants to greenery,,,
Last,1,converted plants to greenery,,,
Last,1,converted plants to greenery,,,
Final,1,162,,,
Final,2,110,,,
